course_id_num,category0,category1,category2,category3,category4,category5,category6,category7,category8,category9,category10,category11,category12,category13,category14,category_all
0,4,13,1,2,33,3,42,100,2,139,56,1,2,0,0,398
1,4,12,1,2,46,3,91,72,3,224,113,0,0,128,0,699
2,3,14,1,2,2,5,15,73,1,91,57,0,0,0,0,264
3,2,14,1,2,1,2,309,78,1,414,155,0,0,1,0,980
4,4,12,1,2,0,1,31,29,2,132,103,0,0,16,0,333
5,2,12,1,2,0,0,31,74,1,107,78,0,0,1,0,309
6,3,8,1,2,10,5,33,43,1,77,36,0,0,1,0,220
7,3,15,1,2,0,2,11,90,1,78,65,0,0,0,0,268
8,3,13,1,2,28,1,59,73,1,190,112,0,0,5,0,488
9,4,11,1,2,49,2,93,63,3,217,118,0,0,130,0,693
10,4,7,1,2,7,1,50,66,1,310,234,0,0,52,0,735
11,2,17,1,2,18,1,69,99,1,172,82,0,0,0,0,464
12,4,19,1,2,2,4,500,130,3,715,256,0,0,473,0,2109
13,3,12,1,2,23,0,52,160,1,157,85,0,0,0,0,496
14,3,15,1,2,11,2,457,110,3,422,258,0,0,0,0,1284
15,2,12,1,2,2,3,53,80,3,100,65,0,0,1,11,335
16,3,14,1,2,29,1,64,85,1,226,133,0,0,6,0,565
17,4,19,1,2,2,5,71,189,0,261,203,3,0,0,0,760
18,4,14,1,2,13,2,290,124,3,811,501,0,0,58,0,1823
19,3,7,1,2,1,1,222,125,1,240,110,0,0,0,0,713
20,3,16,1,2,1,4,14,133,2,158,116,3,3,0,0,456
21,4,20,1,2,165,3,98,77,3,259,114,8,8,37,0,799
22,2,14,1,2,2,2,134,45,1,83,37,0,0,0,0,323
23,4,16,1,2,0,0,16,111,2,118,100,0,0,0,0,370
24,3,26,1,2,2,2,322,126,2,144,110,0,0,0,0,740
25,2,25,1,2,101,3,300,128,2,306,113,0,0,0,0,983
26,2,16,1,2,1,3,61,91,3,174,151,0,0,0,0,505
27,3,12,1,2,2,4,17,61,3,149,132,0,0,0,0,386
28,4,17,1,2,31,3,193,119,1,186,85,0,0,4,0,646
29,3,13,1,2,115,3,109,116,2,458,113,0,0,113,0,1048
30,4,12,1,2,31,1,43,96,2,131,56,0,0,0,0,379
31,3,11,1,2,0,0,33,28,2,132,104,0,0,17,0,333
32,3,15,1,2,2,1,461,109,3,469,273,0,0,0,0,1339
33,3,15,1,2,1,2,306,60,2,349,150,0,0,260,0,1151
34,3,14,1,2,133,2,117,118,1,472,122,0,0,115,0,1100
35,4,10,1,2,1,2,172,62,1,304,137,0,0,298,0,994
36,4,18,1,2,5,2,43,102,0,115,90,3,2,0,0,387
37,4,9,1,2,91,3,44,52,1,119,55,0,0,21,0,402
38,3,8,1,2,1,1,50,54,1,206,146,0,0,0,0,473
