course_id,module_id,category,children,start
SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,L1s4VseGlRT302GZlJNStvtJZnvnr3IJ,about,,null
SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,HxVne4dRqhXXf9FEsuUxVBG2THLkXgGV,about,,null
SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,3fpwAdewUyNZkLToSwy7eWQmmglHzA0G,chapter,wq9HGmGdGoXFRgp4KQzo7WD8RSwwckZL X2rMpSy9lvzEePcRPUXZRrFexnkU1Cmt aPX7zs9ZHQAKIOOZuctOByNugI7nVmHK p1VJppffhgiWRSnf77spMRrwlcnJWG8c dP12mcwvdfBbUfdHhu2r3cXGalXVWdAE lEclrvAiMw6bZux1hsGJB4DpFB4GpfoX ,2014-08-11T01:00:00
SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,qEdbIFRbbfpjN4tkWOq8kMsxES84yPfy,chapter,nQZ5JRSJDlJ0XmlkYykP7iWt748Hp5uQ ehLxBxQUzqxrITqVWTJ1qHGlMP3srKO9 i7ZMFrfn2RmgiWvYvo6x34nC5grwiVNQ fZ32UPUvph4rSNeqRailjvPHusIIVT0F la04MCD9HxfOFYBVfa4BjtzmIW6jM1Ik 5pjnL9wgKcZ2fI8ezgs1H9W39CpjxWij ,2014-07-28T01:00:00
SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,q9vSHnqnL8T6MSYy1QZ1d1v8gb7HqKIc,chapter,aifkOeC4slG9VREeJqwyVeLriGIqAUjY 8u4PaPNvjqjSf6yOaJyAUVsP6pgKduZI wCwGorMD8c2alydefzjqIIJS8DoVoZ9Z 1xc3bbHGup1IWMQHPWiqyMmjUIzj0a3c 1wZB5J60Cnyg6CuNcAoP95tVMzuHoVKF bFKig7U9KM1nYALPqwomjn0kSLqHQLbD ,2014-08-25T01:00:00
SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,jChJZWA7TPrU7h1y5uZfnwajue9MzGBn,chapter,0Udvd0Ezus6AFXWcrWuLOvnUgfqVsuVQ EJcTykn9LulFZnEcHa3HpMTU4zYyjoFY uVX4q1jAF5ybEq4638AXWwkItP6fuEIw ,2014-09-15T01:00:00
SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,54D4zY2cdRyG83ZfykBka35LzNS04AXi,chapter,iobkSlnkHFHMfGsQfOMsKDndiFEC5BA2 ,2014-10-16T01:00:00
SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,zDoPYVWL0APn1CAim3uMOBoSA6sGt9MZ,chapter,wpsagYNi4XOOkSz8Hp83dGZOJX7pZv0q r3fv5rVi1V2Pqsc5vNNsu72Ly3tTlRve SseIsJARgYj0lF7VfESVeUlvpOur2Bav IbfNSsf1r5I5uzwijujWen3nbuAoiDYR MmXDWqZ0632YWcPOtg0D13XoqYgEBGoW ,2014-09-08T01:00:00
SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,lFaL098pNcCMxay4b7YvzwmolqCVT03N,chapter,HElGYBEVde6aSSc5er5WZMkzAdiQ5rl6 MQZcApsTY2oQbjUqyAQX7jNWENKU34VI nJiq11cY4D92xzw7dWOYDtY4aHWyUECT DlNh6XOYtoaW8jXBzkwCaaCRIQhojvnK YwpRsHvwZn5TRNWBDFiw7bNcol5QdCOw IeOtICLticIkr0jFzp2AhwfreD4AYwiP ,2014-06-02T01:00:00
SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,I6LKQXheMldlnI1vCTZBBVq3RxLAOxpE,chapter,8z724RQsocJ9SeLYvsFHpQT3g3oGHtl4 ClbOOMNGNUi9I4en3jEEcuXk21PKiAwI VlAWsbebHxzlHIZZnQZe1M7nteLy8L3J R6juIMETjbKkgQLHFqycV0IpgY8tiJfs Nmmj1hWfzIuT4Jz60CRnIf42kpJlvCYE YMyhoOffHMcs4Hwrviwo3FhuGYkG0oTh dSSUM9U4dfS9p0zy8GkhLT28jWrogoUt ,2014-08-04T01:00:00
SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,0lrB7xh60Mnfp83JZY0GbnYiVgQIcdBz,chapter,5gfPqvNu5c3fUoO5GsEsQNIy395XgszO S0J3yBalja0j8xUyq70LaYTTyzWRsncU SobnzbsVlBRvlbzdrdvR82KTutciXdMn U0AoQ19GwH4IJTelIUpSGKsWrz3sI439 YxCLDt6pXEMQHwgRlcWTKF6L39KFfw8W ,2014-05-26T01:00:00
SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,W569V82FPFMc3YKyMh7mUoAaiYAESfci,chapter,9amIcI4QtFFMu3p7lFnf03mdlPLnN4C1 LUs5ibuzSy144ayGapnLHbQBMcqAAeBj BwzdIXu36vQBHVBs910X7zTCmtyxRo1Z vLMoGNUO2M8uGimpqaBQowWYWCpXCeG8 BwZJZMzKY0SXGTRUyzAqro6RQqi56PzR ,2014-07-07T01:00:00
SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,t62YLbx6JfoGf6znvwn2yvoAkQP47N3O,chapter,JGlvuUfdHcMgNoPo9DoxjOaHlcKeAKYq Y7lnTNGcpc3zClpNsgSA4OFv0crKWkIs AwIgkO1ErK85tloXD1AYIO5X7VigHfC5 cDDoHe9IaTBOf6O5pnlxVPWSWLYTmPF6 XDmwKxPloR4qZ5ITHKKEbPotcFk4GLsG GXMl9hAJc7mN2D7iAJRbYAHkRsHPtFGC ,2014-06-23T01:00:00
SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,sZheQFLQDOSqmjBA12i2NVVuHTmiLaDm,chapter,BQwyoC91TNPuEBNf6gt9lHRXU5tx0ROC I8M3HcyUuEYnJ6JcMYjM5wa6m77ljUm0 TJ2PM3vxF1tWOwCeCaGRWmXhRSJ2DpeR yIrc1Kx6gATUc1TntXGsFCdxPoVAQ5ke nuBUIBfqJAUwXz015YdCYF0ehVG0ai2j Wrf9dppKhwGjplefC5GGJAkITp5tlkBv R5sk309ofT3YgvK23sAWDgHhSds15NNP ,2014-08-18T01:00:00
SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,9bc4yoavNlSifbTbZjUCdAQenbV5LByB,chapter,9kgJcq1xKuGskpwnAA9wBTiQVy2BezUV 3tCdgdlbbE7NrUBbRWZ4zc5TbqyFf0Tn 77iZXfFhh76o85KInNUK6rv2jaaJAwQu NpdCrWffXBUyp9o1unuuJXhuRl9QCffQ hXro2FRvtW5j3e8NIlxnt0KqOpVhYZN3 TNDqqM0IqXNPMrYxMoURFoAcKxIqzPgu wp5USSh9AWeV8nw4Wk7I4Tvlx2SQLJci ,2014-06-16T01:00:00
SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,1KcQ0YSPih8dCJxia9uRrGylbGPaEsTO,chapter,JW0vYCMWYwDVtegR48TbXYycbgzYfuPu w2rvYXi0ibCfdAgWFKsHCixlncGmxSjU 5NQB7kx2I3gnApvucFlend3U8PpeRO3I iqFfcCmY8YZBBoKbxcnwZXJaS7UuvOLE 5MApjd7ZoEAM8y6suqPywvvyWJBQwJqa ,2014-07-15T01:00:00
SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,EwNhr3X73GNTY20P0JN6AlQndvSuRwhN,chapter,d8NoHwcmrtmg6RC2Niqt0GJmkhYKpMBL 110KZff3MmNsiuekKBOmutVR4DYfw4VB HTLXkj3mLKXBaUtn34eYG8aG56Jd86VH 5E6Q0nKJAFsADiv5QRVihd5mvMXHe54u i9Ljgyubq28NxYefMwRmTBj8BVoNBR5M tWRCe8zPJGNd7G2qH7x5K9jWResxJzxf 6mIGGr8UxmtVf9HHdye5jvTGTFGIB3gY UXdyULEoNziIYwkiwiKvo4tr6BBv0d4R ,2014-09-14T06:30:00
SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,PdIDJgFPNrcCtmegviCbPbzeyoQF0K58,chapter,0CFbaO3FzpZIRs8VwzscobdCFEMcUOiM K1vngZJsmEvvRS7oSMtzacuzkCjGDakR XryPIlR6WB08N0yx12Zyc47585StDMf9 BJ72mM6N8k4Sw6uQ0CStXq8GUuOhdnv0 MGihZImWbE6w40zBEAO3lQa8UHKE1df5 IMvzDUMzGHk1X9gbBQh1rM42VBuUewSp 47yPH5zCo7LrWwtDeESA4CiwE2lIIUad ujdwg0ijKOlYv3A16zdBzoRmwdl8hnaV ,2014-07-21T03:00:00
SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,imDqISq6D3vp4nqjskdKt4XxLvD9AOUd,chapter,xGqY2nBihCuZroKZB8i2L674QFWU7YK9 ok6fHyhtwqCQyXOWhdYwyGM8aO7sZrqb Ur6nT6LEvu97KKLdHWP4Pr39KXW3vgay TxXj9I2YFLn2Hj8u1JQs4SWkDj03ShkW fH7SczTyxqowFgH2Kcfc9nE4hwoElZ0h qDPxGTszlxaKXK7XAA1ib4Vd6X6i5e5P b2YnCVqFgvZnnPkSrIRDvKpI6pRoyexB xzphq0KLgk0gjFot5WazPXzU0pqS9lkQ ,2014-06-30T01:00:00
SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,LHbqwkRX6hEG5rc7z2hNSfpcUSDHLo4m,course,0lrB7xh60Mnfp83JZY0GbnYiVgQIcdBz lFaL098pNcCMxay4b7YvzwmolqCVT03N 9bc4yoavNlSifbTbZjUCdAQenbV5LByB t62YLbx6JfoGf6znvwn2yvoAkQP47N3O imDqISq6D3vp4nqjskdKt4XxLvD9AOUd W569V82FPFMc3YKyMh7mUoAaiYAESfci 1KcQ0YSPih8dCJxia9uRrGylbGPaEsTO PdIDJgFPNrcCtmegviCbPbzeyoQF0K58 qEdbIFRbbfpjN4tkWOq8kMsxES84yPfy I6LKQXheMldlnI1vCTZBBVq3RxLAOxpE 3fpwAdewUyNZkLToSwy7eWQmmglHzA0G sZheQFLQDOSqmjBA12i2NVVuHTmiLaDm q9vSHnqnL8T6MSYy1QZ1d1v8gb7HqKIc zDoPYVWL0APn1CAim3uMOBoSA6sGt9MZ EwNhr3X73GNTY20P0JN6AlQndvSuRwhN jChJZWA7TPrU7h1y5uZfnwajue9MzGBn 54D4zY2cdRyG83ZfykBka35LzNS04AXi ,2014-05-26T01:00:00
SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,g0Q3zVjvoz0dyzIsXyQfhX0ebFH0AJ5Y,course_info,,null
